Date,KOSPI,KOSPI200,KOSDAQ,KIS_BOND
2009-05-29,1666.2699,208.1216,583.0247,167.54991
2009-06-30,1660.5492,208.599,535.0291,167.39889
2009-07-31,1860.3165,236.5342,556.2031,167.67366
2009-08-31,1901.8575,241.7553,567.6208,167.74246
2009-09-30,1999.0332,256.1038,558.028,168.55998
2009-10-30,1888.5925,241.0231,536.5621,169.08195
2009-11-30,1858.6239,238.6223,512.1419,171.08781
2009-12-31,2035.1534,261.6578,570.4589,170.61194
2010-01-29,1937.9985,248.0713,551.5758,172.16639
2010-02-26,1928.51,245.7361,563.1944,173.9015
2010-03-31,2049.8279,261.5088,572.9246,175.99102
2010-04-30,2108.8269,269.0267,581.8227,177.12779
2010-05-31,1987.3684,252.9641,543.6862,176.93901
2010-06-30,2059.3997,261.0959,544.4277,177.36926
2010-07-30,2133.4294,271.0266,534.9498,178.49442
2010-08-31,2113.3288,268.142,516.3533,180.70898
2010-09-30,2271.255,287.2444,547.5829,182.67891
2010-10-29,2283.5592,287.2798,585.0542,182.8099
2010-11-30,2309.859,295.1541,553.8705,183.42061
2010-12-31,2514.9676,324.1897,572.0218,183.21928
2011-01-31,2537.9402,326.4969,584.0232,182.29158
2011-02-28,2378.0077,306.4614,565.0703,183.29729
2011-03-31,2587.0066,333.6134,588.6079,184.71805
2011-04-29,2692.2019,347.3949,572.4537,185.34573
2011-05-31,2630.9405,338.2671,542.8116,187.11609
2011-06-30,2583.4691,329.6573,537.3647,187.25044
2011-07-29,2623.4706,331.9815,600.6764,187.99486
2011-08-31,2312.2057,290.1109,552.9335,190.31361
2011-09-30,2176.4031,276.0364,503.9865,190.22463
2011-10-31,2347.8282,299.3618,549.9929,191.19759
2011-11-30,2272.1733,288.951,552.3734,192.71091
2011-12-30,2271.1335,288.5554,564.9218,193.31937
2012-01-31,2432.9158,311.3655,580.5193,194.13472
2012-02-29,2525.5459,323.7643,612.4937,194.58268
2012-03-30,2508.805,323.3857,586.9083,194.70054
2012-04-30,2468.8904,320.6805,540.9664,196.12327
2012-05-31,2296.3455,296.0547,533.1155,197.53479
2012-06-29,2310.7769,297.2578,552.6827,198.16324
2012-07-31,2345.6609,303.5452,528.3342,202.11098
2012-08-31,2374.495,304.1278,574.3693,203.47917
2012-09-28,2488.0419,318.6084,591.9109,203.86324
2012-10-31,2383.1709,303.6666,574.4286,204.7123
2012-11-30,2409.1535,308.6067,564.3257,204.73784
2012-12-31,2514.2961,323.5721,565.0679,204.58908
2013-01-31,2470.103,316.3999,573.436,205.78723
